State_FIPS_Code,County_FIPS_Code,Postal_Code,Name,Poverty_Estimate_allages,Poverty_Percent_allages,"Poverty_Estimate, age017","Poverty_Percent, age017","Poverty_Estimate, age517","Poverty_Percent, age517",Median_Household_Income
37,171,NC,SURRY,"11,479",16.1,"3,538",23.1,"2,437",21.3,"43,023"
37,173,NC,SWAIN,"2,226",15.8,746,24,510,24.1,"41,407"
37,175,NC,TRANSYLVANIA,"5,010",15.2,"1,281",24.3,903,23.7,"47,587"
37,177,NC,TYRRELL,870,24.4,268,35,193,35,"35,223"
37,179,NC,UNION,"20,824",9.1,"7,233",11.6,"5,310",10.8,"77,875"
37,181,NC,VANCE,"10,217",23.4,"3,945",38,"2,739",36.3,"39,847"
37,183,NC,WAKE,"93,924",8.9,"29,723",11.6,"21,260",11.2,"77,641"
37,185,NC,WARREN,"3,966",20.9,"1,185",33,842,31.9,"36,831"
37,187,NC,WASHINGTON,"2,947",24.8,987,40.7,699,39,"36,171"
37,189,NC,WATAUGA,"10,129",20.5,"1,200",16.8,803,15.3,"48,417"
37,191,NC,WAYNE,"24,577",20.3,"8,973",31.1,"6,011",29,"44,592"
37,193,NC,WILKES,"12,516",18.5,"3,441",24.7,"2,422",23.3,"42,453"
37,195,NC,WILSON,"14,481",18.1,"5,348",28.7,"3,691",26.5,"44,825"
37,197,NC,YADKIN,"5,022",13.4,"1,732",22,"1,177",20,"46,885"
37,199,NC,YANCEY,"2,903",16.5,829,25.5,584,24.2,"41,053"
